,Romanization system,Lang,Source script,dest script,Class,Date Approved,Originator,
bgn-pcgn,Adyghe,ady,,Latn,System,2012,BGN/PCGN,
bgn-pcgn,Afghanistan (Unified Agreement),"prs, pus, uzb, tuk, bal, aee, glh, psi, psh",Arab,Latn,System,2007,BGN/PCGN,Applicable to Nuristani languages but not represented in ISO 639
bgn-pcgn,Amharic,amh,Ethi,Latn,System,1967,BGN/PCGN,
bgn-pcgn,Arabic,ara,Arab,Latn,System,1956,BGN/PCGN,
bgn-pcgn,Armenian,hye,Armn,Latn,System,1981,BGN/PCGN,
bgn-pcgn,Avar,,,Latn,System,2011,BGN/PCGN,
bgn-pcgn,Azerbaijani,aez,Arab,Latn,Table of Correspondences,2002,"Govt of Azerbaijan, 1991",
bgn-pcgn,Baluchi,,,Latn,System,2008,BGN/PCGN,
bgn-pcgn,Bashkir,,,Latn,Table of Correspondences,2007,Bashkir practice,
bgn-pcgn,Belarusian,bel,Cyrl,Latn,System,1979,BGN/PCGN,
bgn-pcgn,Bulgarian,bul,Cyrl,Latn,Agreement,2013,"Govt of Bulgaria, 2009",
bgn-pcgn,Burmese,mya,Mymr,Latn,Agreement,1970,"Govt of Burma, 1907",
bgn-pcgn,Chechen,,,Latn,Table of Correspondences,2008,Chechen practice,
bgn-pcgn,Chinese Pinyin,zho,Hani,Latn,Agreement,1979,"Govt of China, 1958",
bgn-pcgn,Chuvash,,,Latn,System,2011,BGN/PCGN,
bgn-pcgn,Dzongkha,dzo,Tibt,Latn,Agreement,2010,"Govt of Bhutan, 1997",
bgn-pcgn,Faroese,fao,Latn,Latn,Roman-Script Spelling Convention,1968,Faroese orthography,
bgn-pcgn,Georgian,geo,Geor,Latn,Agreement,2009,"Govt of Georgia, 2002",
bgn-pcgn,German,ger,Latn,Latn,Roman-Script Spelling Convention,2000,German orthography,
bgn-pcgn,Greek,gre,Grek,Latn,Agreement,1996,Hellenic Organization for Standardization,
bgn-pcgn,Hebrew,heb,Hebr,Latn,Agreement,1962,Hebrew Academy,
bgn-pcgn,Icelandic,isl,Latn,Latn,Roman-Script Spelling Convention,1968,Icelandic orthography,
bgn-pcgn,Inuktitut,iku,Cans,Latn,Table of Correspondences,2018,Inuit Cultural Institute,
bgn-pcgn,Japanese Kana,jpn,,Latn,Agreement,2017,"J.C. Hepburn, 1867",
bgn-pcgn,Kabardian,,,Latn,System,2011,BGN/PCGN,
bgn-pcgn,Karachay-Balkar,,,Latn,Table of Correspondences,2008,Karachay-Balkar practice,
bgn-pcgn,Kazakh,kaz,Arab,Latn,System,1979,BGN/PCGN,
bgn-pcgn,Khmer (Cambodian),khm,Khmr,Latn,Agreement,1972,Service Géographique Khmère (SGK) 1959,
bgn-pcgn,Korean (North Korea),kor,Kore,Latn,Agreement,1945,"McCune-Reischauer, 1939",
bgn-pcgn,Korean (South Korea),kor,Kore,Latn,Agreement,2011,"Ministry of Culture and Tourism, 2000",
bgn-pcgn,Kurdish,kur,Cyrl,Latn,System,2007,BGN/PCGN,
bgn-pcgn,Kyrgyz,,,Latn,System,1979,BGN/PCGN,
bgn-pcgn,Lao,lao,Laoo,Latn,Agreement,1966,"Lao Commission Nationale de Toponymie (CNT), 1965",
bgn-pcgn,Macedonian,mkd,Cyrl,Latn,Agreement,2013,Govt of Macedonia,
bgn-pcgn,Maldivian,div,Thaa,Latn,Agreement,1988,"Govt of Maldives, 1987",
bgn-pcgn,Moldovan,,,Latn,Table of Correspondences,2002,"Govt of Moldova, 1990",
bgn-pcgn,Mongolian Cyrillic,mon,Cyrl,Latn,System,1964,BGN/PCGN,
bgn-pcgn,Nepali,nep,Deva,Latn,Agreement,2011,Nepal Survey Department,
bgn-pcgn,Northern Sami,sme,Latn,Latn,Roman-Script Spelling Convention,1984,Northern Sami orthography,
bgn-pcgn,Ossetian,,,Latn,System,2009,BGN/PCGN,
bgn-pcgn,Pashto,pus,Arab,Latn,System,1968,BGN/PCGN,
bgn-pcgn,Persian,per,Arab,Latn,System,1958,BGN/PCGN,
bgn-pcgn,Russian,rus,Cyrl,Latn,System,1947,BGN/PCGN,
bgn-pcgn,Rusyn,rue,Cyrl,Latn,System,2016,BGN/PCGN,
bgn-pcgn,Serbian,srp,Cyrl,Latn,Table of Correspondences,2005,Govt of Serbia,
bgn-pcgn,Shan,shn,Mymr,Latn,System,2011,BGN/PCGN,
bgn-pcgn,Modern Syriac,syr,Syrc,Latn,System,2011,BGN/PCGN,
bgn-pcgn,Tajik,tgk,Cyrl,Latn,System,1994,BGN/PCGN,
bgn-pcgn,Tatar,,,Latn,Table of Correspondences,2005,Tatar practice,
bgn-pcgn,Thai,tha,Thai,Latn,Agreement,2002,"Royal Institute of Thailand, 2000",
bgn-pcgn,Tigrinya,tir,Ethi,Latn,System,2007,BGN/PCGN,
bgn-pcgn,Turkmen,,,Latn,Table of Correspondences,2000,"Govt of Turkmenistan, 1993",
bgn-pcgn,Udmurt,,,Latn,System,2011,BGN/PCGN,
bgn-pcgn,Ukrainian,urk,Cyrl,Latn,System,1965,BGN/PCGN,
bgn-pcgn,Urdu,urd,Arab,Latn,System,2007,BGN/PCGN,
bgn-pcgn,Uzbek,uzb,Arab,Latn,Table of Correspondences,2000,"Govt of Uzbekistan, 1995",
bgn-pcgn,Yakut,,,Latn,System,2012,BGN/PCGN,
,,,,,,,,
