Amharic,2011
Arabic,2012
Armenian,2011
Assamese,2012
Azerbaijani,2017
Balinese,2012
Batak,2012
Belarusian,2012
Bengali,2017
Bulgarian,2013
Burmese,2011
Cham,2015
Cherokee,2012
Chinese,2011
Church Slavic,2011 rev
Coptic,2014
Deseret,2016
Divehi,2012
Georgian,2011
Greek,2010
Gujarati,2011
Hebrew and Yiddish,2011
Hindi,2011
Inuktitut,2011
Japanese,2012
"Javanese, Sundanese, and Madurese",2011
Jawi-Pegon,2012
Judeo-Arabic,2011
Kannada,2011
Kashmiri,2012
Kazakh,2012
Khmer,2012 rev
Korean,2009
Kurdish,2012
Ladino,2011
Lao,2012
Lepcha,2012 rev
Limbu,2011
Macedonian,2013
Malayalam,2012
Manchu,2012
Mande languages (in N'ko script),2015
Marathi,2011
Mongolian
Moplah,2012
Moroccan Tamazight,2012
Non-Slavic Languages (in Cyrillic Script),2017
Oriya,2011
Ottoman Turkish,2011
Pali,2012
Panjabi,2011
Persian,2012
Pushto,2013
Romanian (in Cyrillic),2014
Russian,2012
"Rusyn, Carpatho-Rusyn",2013
"Sanskrit and Prakrit",2012
Santali,2012 rev
Serbian,2013
Shan,2012
Sindhi,2013
Sinhalese,2011
Syriac,2012
Tamashek,2013
Tamil,2011
Telugu,2011
Thai,2011
Tibetan,2015
Tigrinya,2011
"Tod-Oirat-Old Kalmyk",2012
Uighur,2015
Ukrainian,2011
Urdu,2013
Uzbek,2017
Vai,2011 rev
